StartTime: 2021-12-24 17:37:29.399
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:37:31.197	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	82.6886	0.0055	0.00
0x50	 17:37:31.198	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.1368	-0.0055	0.00
0x50	 17:37:31.198	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7487	-0.0110	0.00
0x50	 17:37:31.297	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	86.0229	0.0055	0.00
0x50	 17:37:31.298	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.0270	-0.0055	0.00
0x50	 17:37:31.298	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7706	-0.0110	0.00
0x50	 17:37:31.397	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	92.9333	0.0055	0.00
0x50	 17:37:31.399	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.9281	-0.0055	0.00
0x50	 17:37:31.399	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7981	-0.0110	0.00
0x50	 17:37:31.496	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	92.8290	0.0055	0.00
0x50	 17:37:31.498	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.8402	-0.0055	0.00
0x50	 17:37:31.498	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7981	-0.0110	0.00
0x50	 17:37:31.640	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	88.8464	0.0055	0.00
0x50	 17:37:31.640	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.7413	-0.0055	0.00
0x50	 17:37:31.640	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7926	-0.0110	0.00
0x50	 17:37:31.701	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	82.5238	0.0055	0.00
0x50	 17:37:31.701	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.6589	-0.0055	0.00
0x50	 17:37:31.701	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7816	-0.0110	0.00
0x50	 17:37:31.833	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	77.8546	0.0055	0.00
0x50	 17:37:31.833	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.5820	-0.0055	0.00
0x50	 17:37:31.833	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7761	-0.0110	0.00
0x50	 17:37:31.898	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	79.8212	0.0055	0.00
0x50	 17:37:31.900	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.5051	-0.0055	0.00
0x50	 17:37:31.900	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7871	-0.0110	0.00
0x50	 17:37:32.028	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	81.9470	0.0055	0.00
0x50	 17:37:32.028	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.4337	-0.0055	0.00
0x50	 17:37:32.028	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7981	-0.0110	0.00
0x50	 17:37:32.100	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	77.7173	0.0055	0.00
0x50	 17:37:32.100	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.3678	-0.0055	0.00
0x50	 17:37:32.100	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7926	-0.0110	0.00
0x50	 17:37:32.235	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	74.0259	0.0055	0.00
0x50	 17:37:32.235	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.3019	-0.0055	0.00
0x50	 17:37:32.235	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7871	-0.0110	0.00
0x50	 17:37:32.298	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	78.1238	0.0055	0.00
0x50	 17:37:32.298	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.2360	-0.0055	0.00
0x50	 17:37:32.298	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8036	-0.0110	0.00
0x50	 17:37:32.441	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	75.0421	0.0055	0.00
0x50	 17:37:32.441	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.1700	-0.0055	0.00
0x50	 17:37:32.441	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8036	-0.0110	0.00
0x50	 17:37:32.498	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	78.2007	0.0055	0.00
0x50	 17:37:32.498	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.1096	-0.0055	0.00
0x50	 17:37:32.498	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8146	-0.0110	0.00
0x50	 17:37:32.634	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	84.8529	0.0055	0.00
0x50	 17:37:32.634	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.0547	-0.0055	0.00
0x50	 17:37:32.634	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8256	-0.0110	0.00
0x50	 17:37:32.697	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	86.5009	0.0055	0.00
0x50	 17:37:32.698	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.0052	-0.0055	0.00
0x50	 17:37:32.698	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8311	-0.0110	0.00
0x50	 17:37:32.805	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	79.5685	0.0055	0.00
0x50	 17:37:32.805	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.9613	-0.0055	0.00
0x50	 17:37:32.805	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8256	-0.0110	0.00
0x50	 17:37:32.898	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	82.9303	0.0055	0.00
0x50	 17:37:32.898	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.9119	-0.0055	0.00
0x50	 17:37:32.899	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8365	-0.0110	0.00
0x50	 17:37:33.000	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	74.9103	0.0055	0.00
0x50	 17:37:33.000	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.8679	-0.0055	0.00
